x_cm,y_cm,heading_deg
9.475078804005647726e+01,2.378911658387626460e+01,2.071875471847287997e+01
9.490854351830743951e+01,2.388693979521974242e+01,2.109423602355809280e+01
9.506760706314894094e+01,2.398311306379585517e+01,2.141196723064006235e+01
9.522640911643853201e+01,2.407700659115381470e+01,2.174086092990191332e+01
9.538052339628561072e+01,2.417609117452465384e+01,2.213304613150256372e+01
9.553490825030417000e+01,2.427341266117299057e+01,2.252302378351053491e+01
9.569739792174448212e+01,2.437216452689097679e+01,2.290965013455336674e+01
9.585075293582703182e+01,2.446519613197131093e+01,2.316943158471977071e+01
9.600514421538939303e+01,2.456725245422807546e+01,2.349122068735492164e+01
9.622709873774883249e+01,2.469648058954106418e+01,2.405051602584502035e+01
9.644685743474278183e+01,2.482334463857277740e+01,2.472480362449646663e+01
9.666945756958634206e+01,2.495040775320162041e+01,2.550689772525598542e+01
9.688768413084055453e+01,2.507445723321895770e+01,2.619006808982082291e+01
9.709219969608564327e+01,2.517681337786639872e+01,2.698411614816017590e+01
9.729030980395702954e+01,2.527952582775247947e+01,2.782587894054241673e+01
9.748978485792733295e+01,2.538676054039719787e+01,2.869769949009366172e+01
9.768715792700895406e+01,2.549655611659619581e+01,2.947531789286561477e+01
9.781687262157151963e+01,2.557051584429332536e+01,2.990586501538522768e+01
9.794688019432085468e+01,2.564594038084120697e+01,3.033488659477778171e+01
9.809054996760825418e+01,2.573088917686095556e+01,3.085490695284731899e+01
9.821858485352034052e+01,2.580801143388761787e+01,3.127069956940897200e+01
9.834668553995577156e+01,2.588654308950687266e+01,3.174975363037653509e+01
9.847313520159823952e+01,2.596538931741557832e+01,3.214049891071267240e+01
9.861593778523568687e+01,2.605597690153139823e+01,3.263793702152855758e+01
9.880455973261450708e+01,2.617790340404040350e+01,3.311986425717242355e+01
9.899420141624793246e+01,2.630251971535420807e+01,3.349913263136692620e+01
9.918069646158019737e+01,2.642685822355129943e+01,3.388460876779444675e+01
9.936704579721948960e+01,2.655310867980492162e+01,3.435015767409570486e+01
9.955165128692851795e+01,2.668024482026478594e+01,3.475951235164829001e+01
9.973646437773457762e+01,2.680942848225436492e+01,3.514729805102475524e+01
9.992089942054784046e+01,2.694048322721549837e+01,3.564592415264912262e+01
1.001015825405317656e+02,2.707107485959013715e+01,3.607032977366038295e+01
