x,y,phi
8.054882397567871521e+01,2.063142721896047505e+01,3.194447700090864206e+00
8.080800509777299112e+01,2.063597201431014128e+01,3.537010588591171789e+00
8.105993686334281279e+01,2.064112428508084918e+01,2.699899725295852537e+00
8.130496864483154695e+01,2.064756174671778055e+01,3.077965332873669801e+00
8.154386892970494216e+01,2.065597262560077496e+01,3.545177781820653795e+00
8.177773341858822675e+01,2.066682227645038239e+01,3.943936669452765109e+00
8.200780250576126207e+01,2.068025327952659609e+01,4.315497039211800612e+00
8.223524440518794165e+01,2.069613711257052913e+01,4.662609320139489810e+00
8.246098403563468082e+01,2.071420908993100696e+01,4.979169557223888098e+00
8.268564480282525153e+01,2.073419553955344341e+01,5.399851139637418029e+00
8.290958122649570328e+01,2.075588878248370150e+01,5.731260422463382298e+00
8.313297054219199822e+01,2.077915835052817428e+01,6.142191297354954393e+00
8.335589944412404861e+01,2.080392727767446104e+01,6.561527108659491070e+00
8.357842613272720200e+01,2.083013750765256589e+01,6.929837322139110967e+00
8.380061261206826373e+01,2.085771948044699542e+01,7.365890298497119737e+00
8.402254282545757746e+01,2.088657427964745139e+01,7.777431303476676661e+00
8.424434978830090870e+01,2.091656763502202310e+01,8.186843678778039646e+00
8.446624679808959968e+01,2.094754555406037966e+01,8.524314692096778501e+00
8.468858660723223863e+01,2.097936035048491021e+01,8.499199422755157940e+00
8.491193611755343795e+01,2.101190927821458487e+01,8.497103166389059936e+00
8.513714799651339149e+01,2.104517507148090871e+01,8.489153076920734620e+00
8.536538116175766788e+01,2.107925659936445584e+01,8.481853878415547499e+00
8.559800178547567384e+01,2.111437629568313312e+01,8.537243320117331891e+00
8.583633934810919186e+01,2.115085989741661621e+01,8.522315512739243815e+00
8.608132696234153514e+01,2.118908777747201100e+01,8.525134843240397942e+00
8.633315240513542221e+01,2.122943109494092084e+01,8.498863252719228711e+00
8.659104911621314216e+01,2.127218521340695645e+01,8.857996138775146022e+00
8.685327874433113493e+01,2.131750667153991685e+01,9.458947491973338728e+00
8.711724961131204736e+01,2.136535359936076617e+01,1.022751864127315713e+01
8.737968296038229710e+01,2.141543603426122999e+01,1.103566175504124303e+01
8.763681327526646214e+01,2.146719983806713117e+01,1.184687949244199956e+01
8.788470811135667304e+01,2.151987964734600567e+01,1.261171652869901294e+01
8.811979169994154404e+01,2.157263974790967609e+01,1.338555173939566600e+01
8.833951026660012928e+01,2.162477559825364182e+01,1.420499332767629674e+01
8.854290049451523714e+01,2.167590167981155602e+01,1.503436343803437936e+01
8.873077653661729869e+01,2.172604169488413817e+01,1.587075474315282264e+01
8.890540945645612680e+01,2.177558048156179993e+01,1.671771018217075877e+01
8.906983766625063481e+01,2.182510850347581410e+01,1.760370084262820356e+01
8.922711614409260505e+01,2.187523736322076218e+01,1.839798865187683674e+01
8.937978731476169969e+01,2.192646141391865555e+01,1.928362362678742059e+01
8.952968759874485727e+01,2.197910357118162494e+01,2.007470329849474666e+01
8.967803143949470268e+01,2.203333701415813550e+01,2.087764694318430614e+01
8.982563885470138132e+01,2.208925461335991614e+01,2.139040761470878493e+01
8.997319143336625302e+01,2.214695821234606754e+01,2.182614932572321820e+01
9.012145702590281360e+01,2.220664893242458859e+01,2.224798221829793121e+01
9.027144690621452128e+01,2.226869941482771864e+01,2.267700609869807948e+01
9.042446324660780022e+01,2.233368189029138762e+01,2.314283065926964866e+01
9.058199577619659237e+01,2.240232772339992806e+01,2.361035436452039349e+01
9.074544076490184352e+01,2.247540132703733562e+01,2.393898729403347758e+01
9.091571773277601665e+01,2.255351470876118825e+01,2.429872914628671410e+01
9.109291147246409537e+01,2.263693893938236812e+01,2.490213619226295094e+01
9.127609025134765375e+01,2.272547935767785887e+01,2.567803500198997924e+01
9.146337437332203990e+01,2.281845478463671029e+01,2.653740168489409612e+01
9.165221827794077569e+01,2.291477631863479303e+01,2.726598952698233802e+01
9.183980109629600008e+01,2.301309388123524968e+01,2.808261149983061244e+01
