x,y,phi
5.920730828315351602e+01,1.942717192156419870e+01,1.467769427899550672e-01
5.945127525126744672e+01,1.946395653827123340e+01,1.525226567105835984e-01
5.969261122296419586e+01,1.950180385569132113e+01,1.585917334564967973e-01
5.993329676044593413e+01,1.954121958082599519e+01,1.660553433339203300e-01
6.010896639149211040e+01,1.957088152133244208e+01,1.684905149471286889e-01
6.028535600531716909e+01,1.960080923513864448e+01,1.676448643184492160e-01
6.046309920230756774e+01,1.963089154599250818e+01,1.676694686759092612e-01
6.064436926225626223e+01,1.966161164209603385e+01,1.680833073374027875e-01
6.082054934252931133e+01,1.969154309082002996e+01,1.684855534495761642e-01
6.099842513684014023e+01,1.972170046216336559e+01,1.674039133107781407e-01
6.117741189614272912e+01,1.975186058454069027e+01,1.664692179939449013e-01
6.135714733799377996e+01,1.978206278489658487e+01,1.664940931990177841e-01
6.159793707017734476e+01,1.982263868545561181e+01,1.673926276250788381e-01
6.183874117732280951e+01,1.986341604126397442e+01,1.681012993973668990e-01
6.207967365532215354e+01,1.990437670881940946e+01,1.686963310089083234e-01
6.236435656074158373e+01,1.995299840861664364e+01,1.696242250599886425e-01
6.261333649392116030e+01,1.999560415641580136e+01,1.693351219206149227e-01
6.285313432676029777e+01,2.003655460232172558e+01,1.689431234136719862e-01
6.309146524848498672e+01,2.007704337934412209e+01,1.676130628206990714e-01
6.333178481856149489e+01,2.011761017039973254e+01,1.668410604876530978e-01
6.357109599628349628e+01,2.015767781310355389e+01,1.649396638883611210e-01
6.381249149622286865e+01,2.019786631502534036e+01,1.650023298683377659e-01
6.405119105436997984e+01,2.023720116397795721e+01,1.616383446144726843e-01
6.429037368263763597e+01,2.027536373740813502e+01,1.548026157547062742e-01
6.452894163805002847e+01,2.031183407527960227e+01,1.485923176026284487e-01
6.476740005273610734e+01,2.034654640721513630e+01,1.405164717827737109e-01
6.500680915303125573e+01,2.037938095366659752e+01,1.320794341556899565e-01
6.525087736552735862e+01,2.041094870213168377e+01,1.251721267030413420e-01
6.542889181501047347e+01,2.043287400097512929e+01,1.199251624949852213e-01
6.560542861839684292e+01,2.045430773764684318e+01,1.217166960475606768e-01
6.578170990551224406e+01,2.047574859858576701e+01,1.203516621313551332e-01
6.595865492120675810e+01,2.049710585124923412e+01,1.198860820451668058e-01
6.613702207636795549e+01,2.051851580638312100e+01,1.190369477686508831e-01
6.631443889500204136e+01,2.053973407788686245e+01,1.190235545452740518e-01
6.649571534732612577e+01,2.056138306518068859e+01,1.187010563972127064e-01
6.667430511568552731e+01,2.058258434419783356e+01,1.176228355633845424e-01
6.692082884211157534e+01,2.061196021860314787e+01,1.195795580780494999e-01
6.716217583236796429e+01,2.064124892009364842e+01,1.219497003305004823e-01
6.740249626957637474e+01,2.067080615483385486e+01,1.228029984356723697e-01
6.764554771258980281e+01,2.070139568869811697e+01,1.275928910099197178e-01
6.789194945112750190e+01,2.073394978089992691e+01,1.351214835772428235e-01
6.813296358773595784e+01,2.076753702323011908e+01,1.418109245965371579e-01
6.837312716575992511e+01,2.080276809147717287e+01,1.495035284736918324e-01
6.861346074333164324e+01,2.083989331956008328e+01,1.570211757624594973e-01
6.879289956714356435e+01,2.086889221537316530e+01,1.634258749917332498e-01
6.897004901716975667e+01,2.089873858213966784e+01,1.704015842660105695e-01
6.914552823585704289e+01,2.092951095977217690e+01,1.767920910009530555e-01
6.932136639943456657e+01,2.096165886458912908e+01,1.848669826165870445e-01
6.950162224111326736e+01,2.099596693852709706e+01,1.912936574672912948e-01
6.967660160210321862e+01,2.103038333767078427e+01,1.971248384693651545e-01
6.985121825171873411e+01,2.106587242712298647e+01,2.038931679367231853e-01
7.003438098024625447e+01,2.110429125079011570e+01,2.096169313099469633e-01
7.021188907845095173e+01,2.114268442679109938e+01,2.164001984690605007e-01
7.038561762049823756e+01,2.118143516910727797e+01,2.225215449060812256e-01
7.055978544301333955e+01,2.122148309279362266e+01,2.294988000711461196e-01
7.073829395904502348e+01,2.126384545710976326e+01,2.365064679151871463e-01
7.091320650242323609e+01,2.130655108540410225e+01,2.424319134942891363e-01
7.108620440096386517e+01,2.135001065725687042e+01,2.498107813699230462e-01
7.125863351256512601e+01,2.139464686786828551e+01,2.568022739894705309e-01
7.143667614676343192e+01,2.144207497941047436e+01,2.638788930733770854e-01
7.160870632222859911e+01,2.148915191009459846e+01,2.703519389795552286e-01
7.178133574350560764e+01,2.153693283771817235e+01,2.696946654823135225e-01
