var_x,var_y,var_heading
5.485009212577622584e-02,8.424999794720562651e-02,2.254364305874393488e-04
5.589411199982352585e-02,8.380783995524201946e-02,2.259871100894376235e-04
5.696752816720571794e-02,8.338189044223943969e-02,2.265422827101071289e-04
5.805549132140185031e-02,8.297773649490042258e-02,2.270869153253094581e-04
5.920950152219506268e-02,8.258366179814186081e-02,2.276683038323341728e-04
6.035863761833706875e-02,8.221394448588247028e-02,2.282211084823899776e-04
6.153407505611493966e-02,8.186345224428892564e-02,2.287734197334836603e-04
6.272859140961493940e-02,8.152960348221573172e-02,2.293203012086575778e-04
6.397190263799269749e-02,8.120782523570641009e-02,2.298866874450593203e-04
6.505614600140237347e-02,8.095146694469443349e-02,2.304656918438429129e-04
6.613808497339052073e-02,8.070569972205626774e-02,2.310252602639099970e-04
6.723599516415951216e-02,8.046839431319394165e-02,2.315833529420803960e-04
6.833597471360623732e-02,8.024044553252229761e-02,2.321272847937686683e-04
6.945552026786684652e-02,8.001810046841288659e-02,2.326741662689425858e-04
7.059334397694161378e-02,7.980265538093078703e-02,2.332221781475097894e-04
7.176849000917018273e-02,7.959415271721442808e-02,2.337874926143210827e-04
7.295231799060716837e-02,7.939231873970628572e-02,2.343452177297974687e-04
7.436236868064209637e-02,7.915004775160097705e-02,2.348949252804729865e-04
7.579361825522881735e-02,7.891367910500467209e-02,2.354433523564500633e-04
7.727584109630941667e-02,7.868348819924700366e-02,2.360109062104381633e-04
7.877058481103653420e-02,7.846190966990454485e-02,2.365697044351033798e-04
8.026754620680756624e-02,7.825005033934402665e-02,2.371128221108153666e-04
8.179114314111718409e-02,7.804493857526068057e-02,2.376577757080528637e-04
8.334402360926672360e-02,7.784682685601788943e-02,2.382060460073495982e-04
8.493129710487816453e-02,7.765692951784448905e-02,2.387603534766473911e-04
8.656320855169327699e-02,7.747645150986437468e-02,2.393266406717036419e-04
8.819766173955324862e-02,7.730667116315780019e-02,2.398773414049235042e-04
8.984744126560882671e-02,7.714758335221667818e-02,2.404210158604716758e-04
9.152520956547217923e-02,7.699852202504270382e-02,2.409657751678130166e-04
9.326480280929598521e-02,7.685738484014049965e-02,2.415326825904382782e-04
9.501154162446000251e-02,7.672836117155568125e-02,2.420868622620698499e-04
9.686068797863965629e-02,7.660672824691798499e-02,2.426873979823983415e-04
9.867234748945667711e-02,7.649872617495634408e-02,2.432473046001521052e-04
1.003118959971717045e-01,7.641469716939668089e-02,2.438029974885637201e-04
1.019607377337924253e-01,7.633614062087525076e-02,2.443513694782884242e-04
1.036246619906431854e-01,7.626344855182713711e-02,2.448962090316051570e-04
1.053595207429805919e-01,7.619464718795404545e-02,2.454731818795487610e-04
1.070921078881405808e-01,7.613190831016793114e-02,2.460350083104074549e-04
1.088345208093252220e-01,7.607723391162321547e-02,2.465893413410065330e-04
1.105912463882433583e-01,7.602897225818583404e-02,2.471394817071975746e-04
1.123641821224593551e-01,7.598602198131201857e-02,2.476868880185782132e-04
1.143712077121762788e-01,7.592793096156802424e-02,2.482376779273979769e-04
1.164253004130294256e-01,7.586946168612931918e-02,2.488005728178466257e-04
